Type,ILCR_mean,ILCR_0.05,ILCR_0.25,ILCR_0.5,ILCR_0.75,ILCR_0.95,HQ_mean,HQ_0.05,HQ_0.25,HQ_0.5,HQ_0.75,HQ_0.95
"coal, V",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"coal, Mn",,,,,,,0.003070588167910672,0.0,0.0008647819844004161,0.002440701559465365,0.0044358207415069115,0.008910374599354643
"**Sum, coal",3.2846253538810606e-06,0.0,9.250621301891971e-07,2.61083212241121e-06,4.745022281102247e-06,9.531477593601388e-06,0.075713180823708,0.0,0.021323404891039323,0.06018172037517046,0.10937647106605972,0.21970800587919811
"biomass, As",1.5154650226129753e-07,0.0,1.8998081628228933e-08,9.706063591295733e-08,2.3634235947566995e-07,4.897652095010266e-07,0.002349558172995512,0.0,0.00029454390101249305,0.0015048160596423787,0.0036642226250372394,0.007593259056866231
"biomass, Cr_6",2.1248389357785636e-08,0.0,2.6637278291753476e-09,1.3608906523205736e-08,3.313764686708505e-08,6.867015543144583e-08,0.00035413982260419576,0.0,4.4395463816384284e-05,0.00022681510870372213,0.0005522941144115481,0.0011445025904414771
"biomass, Cr_3",,,,,,,4.1316312636702804e-05,0.0,5.179470778521333e-06,2.6461762681810556e-05,6.443431334730694e-05,0.00013352530221670723
"biomass, Cu",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"biomass, Ni",2.1860307573170672e-09,0.0,2.740438753097834e-10,1.4000820359722942e-09,3.4091955892184717e-09,7.064774150887819e-09,0.0006506043789257561,0.0,8.156067552917268e-05,0.00041669107372341676,0.0010146415239290253,0.0021026113119882494
"biomass, Pb",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"biomass, Zn",,,,,,,2.001484477923822e-15,0.0,2.509088954337463e-16,1.2818861095338638e-15,3.1213888602379905e-15,6.468360866245835e-15
"biomass, V",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"biomass, Mn",,,,,,,0.0023488716206167023,0.0,0.00029445783384538605,0.0015043763450367591,0.003663151921281702,0.00759104026946681
"**Sum, biomass",1.7498092237640024e-07,0.0,2.1935853332714063e-08,1.1206962447213537e-07,2.7288920193197343e-07,5.655001390833602e-07,0.00574449030778087,0.0,0.0007201373449822083,0.0036791603497893692,0.008958744498009943,0.018564938530985942
