,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
12222,1.98,1.98,0.45,0.8704999999999999,0.42049999999999993,0.0
12303,1.82,1.82,0.51,0.6050999999999997,0.09509999999999974,0.0
12343,3.81,3.81,1.58,1.523,0.05700000000000016,0.0
12360,5.03,5.03,2.04,1.7964000000000004,0.2435999999999996,0.0
16333,3.09,3.09,0.53,0.5731999999999997,0.04319999999999968,0.0
16433,2.24,2.24,0.55,0.6617000000000004,0.11170000000000035,0.0
16441,1.81,2.0115999999999996,0.48,0.4899000000000003,0.009900000000000297,0.20159999999999956
16472,3.29,3.29,0.91,0.8427000000000003,0.0672999999999997,0.0
16540,3.98,3.98,0.68,0.8675000000000003,0.18750000000000022,0.0
16573,4.68,4.68,1.13,1.1837000000000004,0.053700000000000525,0.0
16598,8.51,8.51,1.56,2.0727,0.5127000000000002,0.0
16605,1.96,1.96,0.43,0.5271,0.09710000000000002,0.0
16709,2.96,2.96,0.58,0.7426999999999996,0.16269999999999962,0.0
16830,1.5,1.5,0.39,0.49960000000000016,0.10960000000000014,0.0
16833,1.52,1.52,0.53,0.6386000000000002,0.10860000000000014,0.0
16909,2.31,2.31,0.71,0.5946000000000001,0.11539999999999984,0.0
17134,7.78,7.78,2.42,2.2925000000000004,0.1274999999999995,0.0
17143,8.04,8.04,2.38,2.432200000000002,0.052200000000002245,0.0
17167,7.13,7.13,1.25,1.627200000000001,0.3772000000000011,0.0
17232,6.18,6.18,1.81,1.6326000000000003,0.17739999999999978,0.0
17249,1.88,1.88,0.63,0.6093999999999998,0.020600000000000174,0.0
17498,9.58,9.58,1.27,1.6387,0.3687,0.0
17526,8.51,8.51,1.04,1.8085000000000002,0.7685000000000002,0.0
17540,3.05,2.3308,0.54,0.6084999999999998,0.06849999999999978,0.7191999999999998
17544,3.23,3.23,0.93,0.7357000000000002,0.1942999999999998,0.0
17596,2.71,2.71,0.85,0.8705999999999997,0.02059999999999973,0.0
17700,7.21,7.21,2.15,1.8788999999999993,0.27110000000000056,0.0
17734,4.86,4.86,1.08,1.2477999999999994,0.16779999999999928,0.0
17749,3.07,3.07,0.78,0.8723999999999998,0.09239999999999982,0.0
17758,2.16,2.16,0.34,0.5480999999999998,0.20809999999999979,0.0
17761,1.28,1.28,0.21,0.2547999999999998,0.04479999999999981,0.0
17868,6.23,6.23,1.53,1.6968999999999994,0.16689999999999938,0.0
17899,8.44,8.44,2.83,2.718299999999998,0.11170000000000213,0.0
17952,8.68,8.68,2.6,2.9922999999999984,0.3922999999999983,0.0
17967,5.62,5.975200000000001,1.81,1.7679999999999996,0.04200000000000048,0.35520000000000085
17983,3.18,3.18,1.03,1.0286,0.0014000000000000679,0.0
17986,2.6,2.6,0.79,0.7372000000000001,0.05279999999999996,0.0
18016,9.4,9.4,3.0,3.337400000000001,0.33740000000000103,0.0
18027,5.36,5.36,1.32,1.6530999999999998,0.33309999999999973,0.0
18122,2.47,2.47,0.75,0.691,0.05900000000000005,0.0
18317,4.04,4.04,0.94,0.9557999999999996,0.015799999999999703,0.0
18329,3.93,3.93,1.07,1.0906999999999993,0.020699999999999275,0.0
18344,3.77,3.77,1.05,1.0961000000000005,0.046100000000000474,0.0
18419,3.78,3.78,1.15,0.9010000000000001,0.24899999999999978,0.0
18420,3.14,3.14,0.88,0.7846000000000005,0.09539999999999949,0.0
18429,3.7,3.7,1.0,0.9321,0.06789999999999996,0.0
18461,3.54,3.713800000000001,1.04,0.9497,0.09030000000000005,0.17380000000000084
18468,5.13,5.13,1.42,1.3676999999999995,0.05230000000000046,0.0
18476,5.89,5.89,1.64,1.651200000000001,0.011200000000000987,0.0
18486,6.27,6.27,1.67,1.720299999999999,0.05029999999999912,0.0
18504,5.27,5.27,1.18,1.4290000000000007,0.24900000000000078,0.0
18506,5.28,5.28,1.22,1.3607000000000005,0.1407000000000005,0.0
18508,5.22,5.22,1.25,1.385400000000001,0.13540000000000108,0.0
18523,1.51,1.51,0.48,0.3413999999999999,0.13860000000000006,0.0
18561,2.26,2.26,0.63,0.6951000000000004,0.06510000000000038,0.0
18772,4.02,4.02,0.92,0.9444999999999999,0.024499999999999855,0.0
18774,4.16,4.16,0.89,1.0087000000000002,0.11870000000000014,0.0
18790,3.1,3.1,0.7,0.8067,0.10670000000000002,0.0
18797,3.08,3.08,1.05,0.9769000000000001,0.07309999999999994,0.0
18807,4.02,4.02,0.98,1.1384999999999998,0.15849999999999986,0.0
18861,5.45,5.45,1.11,1.2293000000000005,0.1193000000000004,0.0
18931,9.18,9.18,3.32,3.317999999999999,0.002000000000000668,0.0
19004,4.71,4.71,1.36,1.3671000000000004,0.007100000000000328,0.0
19110,1.29,1.29,0.46,0.43979999999999975,0.020200000000000273,0.0
19217,3.39,3.3207000000000018,0.72,0.8838000000000001,0.16380000000000017,0.06929999999999836
19231,4.1,4.1,1.46,1.5531000000000006,0.09310000000000063,0.0
19232,3.82,3.82,1.38,1.4158000000000002,0.035800000000000276,0.0
19265,1.61,1.61,0.7,0.6958999999999996,0.004100000000000326,0.0
19328,0.06,0.06,0.31,0.2116,0.09839999999999999,0.0
19478,5.27,5.27,1.24,1.3792,0.1392,0.0
